
---------- Begin Simulation Statistics ----------
simSeconds                                   0.141565                       # Number of seconds simulated (Second)
simTicks                                 141564818000                       # Number of ticks simulated (Tick)
finalTick                                141564818000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    343.03                       # Real time elapsed on the host (Second)
hostTickRate                                412692202                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     676544                       # Number of bytes of host memory used (Byte)
simInsts                                    288445808                       # Number of instructions simulated (Count)
simOps                                      288445808                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   840882                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     840882                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        141564819                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.490785                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.037553                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       339099540                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    51555                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      327033801                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 105189                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             50705286                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20969421                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           141545405                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.310452                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.996999                       # Number of insts issued each cycle (Count)
system.mem_ctrl.dram.bwTotal::cpu.data       19540222                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::total          30517865                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.readBursts                 43489                       # Number of DRAM read bursts (Count)
system.mem_ctrl.dram.writeBursts                23958                       # Number of DRAM write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::0          2541                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::1          2536                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::2          2702                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::3          2734                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::4          2722                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::5          2609                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::6          2695                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::7          2687                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::8          2688                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::9          2790                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::10         3309                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::11         3218                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::12         2930                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::13         2464                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::14         2432                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::15         2432                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::0          1290                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::1          1329                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::2          1509                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::3          1525                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::4          1542                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::5          1461                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::6          1462                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::7          1477                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::8          1469                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::9          1536                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::10         1901                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::11         1918                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::12         1687                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::13         1283                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::14         1286                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::15         1283                       # Per bank write bursts (Count)
system.mem_ctrl.dram.totQLat                472369250                       # Total ticks spent queuing (Tick)
system.mem_ctrl.dram.totBusLat              217445000                       # Total ticks spent in databus transfers (Tick)
system.mem_ctrl.dram.totMemAccLat          1287788000                       # Total ticks spent from burst creation until serviced by the DRAM (Tick)
system.mem_ctrl.dram.avgQLat                 10861.81                       # Average queueing delay per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.avgBusLat                5000.00                       # Average bus latency per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.avgMemAccLat            29611.81                       # Average memory access latency per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.readRowHits                31456                       # Number of row buffer hits during reads (Count)
system.mem_ctrl.dram.writeRowHits               21410                       # Number of row buffer hits during writes (Count)
system.mem_ctrl.dram.readRowHitRate             72.33                       # Row buffer hit rate for reads (Ratio)
system.mem_ctrl.dram.writeRowHitRate            89.36                       # Row buffer hit rate for writes (Ratio)
system.mem_ctrl.dram.bytesPerActivate::samples        14574                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::mean   296.031838                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::gmean   201.847192                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::stdev   312.238417                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::0-127          856      5.87%      5.87% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::128-255        10329     70.87%     76.75% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::256-383          355      2.44%     79.18% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::384-511          285      1.96%     81.14% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::512-639          257      1.76%     82.90% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::640-767          246      1.69%     84.59% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::768-895          272      1.87%     86.46% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::896-1023          262      1.80%     88.25% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::1024-1151         1712     11.75%    100.00% # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.bytesPerActivate::total        14574                       # Bytes accessed per row activation (Byte)
system.mem_ctrl.dram.dramBytesRead            2783296                       # Total bytes read (Byte)
system.mem_ctrl.dram.dramBytesWritten         1533312                       # Total bytes written (Byte)
system.mem_ctrl.dram.avgRdBW                19.660930                       # Average DRAM read bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrl.dram.avgWrBW                10.831166                       # Average DRAM write bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrl.dram.peakBW                  12800.00                       # Theoretical peak bandwidth in MiByte/s ((Byte/Second))
system.mem_ctrl.dram.busUtil                     0.24                       # Data bus utilization in percentage (Ratio)
system.mem_ctrl.dram.busUtilRead                 0.15                       # Data bus utilization in percentage for reads (Ratio)
system.mem_ctrl.dram.busUtilWrite                0.08                       # Data bus utilization in percentage for writes (Ratio)
system.mem_ctrl.dram.pageHitRate                78.38                       # Row buffer hit rate, read and write combined (Ratio)
system.mem_ctrl.dram.power_state.pwrStateResidencyTicks::UNDEFINED 141564818000                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrl.dram.rank0.actEnergy         51529380                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrl.dram.rank0.preEnergy         27377130                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrl.dram.rank0.readEnergy       151553640                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrl.dram.rank0.writeEnergy       60494580                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrl.dram.rank0.refreshEnergy 11174769840.000002                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrl.dram.rank0.actBackEnergy  15867969510                       # Energy for active background per rank (pJ) (Joule)
